#{"t_start": 1732608523.6660824, "env_id": null}
r,l,t,level
-12291.830858,25585,9702.392089,1
2008.562859,13194,11155.184323,1
2184.382643,13412,14527.237711,1
36621.041905,29121,24418.795616,1
-2181.466709,19531,32256.448681,1
-5643.571074,30097,44182.932194,1
590.620056,15580,48722.512226,1
-4636.266742,11376,49954.969116,1
3311.192547,2823,50258.774113,1
15780.078893,10035,51375.985834,1
8865.44227,4901,51908.109321,1
3977.569015,4599,52408.721471,1
13865.677191,12274,53931.434881,1
-10658.408706,7467,55079.751466,1
