#{"t_start": 1733481328.3435066, "env_id": null}
r,l,t
-9465.15,48769,12989.364204
528.894231,1575,13402.584106
742.479808,2354,13948.30355
3473.816346,10369,15539.485153
3800.926923,8489,16899.936876
4010.120192,7020,18112.773856
2396.149038,4845,18978.028923
518.810577,1153,19184.140523
543.975962,1015,19365.168447
708.952885,1186,19578.558557
496.319231,1042,19778.742469
578.645192,1341,20068.237465
4385.073077,7001,21629.121698
5244.754808,8540,23931.498785
721.589423,1053,24225.655438
1119.059615,14707,28458.624394
595.382692,748,28660.849804
848.739423,1319,29019.319502
3820.665385,5602,30097.981141
3988.625962,5086,30905.798295
4043.371154,4761,31672.23847
2448.151923,3638,32273.883358
559.734615,949,32441.208481
579.0625,725,32567.542597
727.756731,1002,32753.952471
515.375,910,32950.65062
648.849038,943,33151.123512
3390.126923,5657,34305.138354
5857.742308,7407,36239.183061
724.601923,886,36463.019273
8621.599038,13713,40021.343961
589.419231,801,40216.197639
859.066346,1019,40465.400338
3857.304808,6162,41358.980181
4054.866346,5106,42012.539686
4201.252885,4813,42620.600332
2498.899038,3675,43089.995539
574.401923,738,43184.790224
566.913462,735,43281.892519
728.636538,837,43416.383721
523.953846,742,43538.13952
651.156731,898,43692.841757
4507.243269,4968,44592.459068
5906.196154,7414,46409.489184
737.048077,795,46611.425468
8054.327885,11641,49657.59482
599.636538,717,49843.01698
853.206731,1105,50128.447433
3910.781731,5423,51491.552561
4050.204808,5528,52315.125432
4277.039423,4911,52878.233786
2500.551923,3639,53264.614542
555.282692,954,53367.462632
570.982692,632,53437.245028
728.931731,1039,53547.379723
523.918269,735,53620.271597
567.439423,817,53721.416856
