#{"t_start": 1733132477.752803, "env_id": null}
r,l,t,level
-5952.228013,7225,1484.173954,1
-1942.339425,17802,5207.499572,1
-676.262731,18466,9805.024734,1
2235.225212,26246,22686.97194,1
1483.838328,36212,41580.069376,1
3845.585161,20208,45727.802457,1
-2282.81657,20092,47947.615576,1
416.389466,4548,48404.265341,1
693.061236,2212,48627.694596,1
263.332897,8821,49533.987015,1
-11.048044,5794,50118.888079,1
702.283936,1756,50296.90537,1
5106.177592,9069,51368.958628,1
-2537.27215,13915,53520.842394,1
861.981731,1159,53639.194491,1
